"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 02-Mar-2021","30 D % CHNG 
 31-Jan-2022",,,,,
NIFTY 200,"8,512.45","8,674.60","8,470.80","8,467.30","8,636.05",168.75,1.99,1448839322,"5,47,63,12,19,086.48","9,895.10","7,427.00",8.26,-8.76,,,,,
DALBHARAT,"1,366.40","1,475.90","1,362.25","1,362.25","1,474.00",111.75,8.2,442885,"63,53,14,103.65","2,548.40","1,278.15",-5.99,-29.79,,,,,
LALPATHLAB,"2,477.00","2,625.00","2,442.50","2,437.85","2,621.70",183.85,7.54,350704,"90,18,59,885.28","4,245.50","2,263.40",5.16,-21.01,,,,,
ASHOKLEY,101,107.75,99.85,99.3,106.6,7.3,7.35,32285510,"3,37,06,07,244.00",153.5,93.2,-21.07,-27.09,,,,,
INDIGO,"1,658.00","1,754.85","1,658.00","1,598.80","1,715.00",116.2,7.27,5596423,"9,56,99,39,294.23","2,380.00","1,503.00",-6.39,-19.02,,,,,
INDHOTEL,197,208.8,196.2,194.05,208,13.95,7.19,15038951,"3,06,85,47,562.04",230.49,91.02,52.74,-10.39,,,,,
TATAELXSI,"6,664.00","7,060.00","6,580.05","6,572.70","7,045.00",472.3,7.19,419890,"2,88,33,51,038.80","7,964.40","2,580.75",142.32,-11.48,,,,,
DHANI,71.5,76.6,70.7,70.5,75.25,4.75,6.74,6019064,"44,40,86,541.92",324.65,67.05,-77.41,-54.07,,,,,
PGHH,"14,451.25","15,179.00","14,210.10","14,184.95","15,060.00",875.05,6.17,24173,"34,75,27,727.37","16,448.70","12,110.00",9.07,-6.18,,,,,
ASIANPAINT,"2,750.00","2,890.00","2,665.05","2,723.40","2,890.00",166.6,6.12,4076068,"11,31,39,01,186.92","3,590.00","2,343.05",14.3,-15.86,,,,,
TRENT,"1,078.00","1,155.00","1,070.05","1,078.10","1,143.00",64.9,6.02,757000,"85,84,30,430.00","1,212.00",689,21.87,1.96,,,,,
ZEEL,238,252.3,235.6,236.7,250.4,13.7,5.79,18640774,"4,60,44,57,585.74",378.7,166.8,5.29,-14.95,,,,,
CUMMINSIND,947.9,"1,002.20",945,945.45,998,52.55,5.56,1044481,"1,03,16,54,773.32","1,064.45",747,7.31,2.49,,,,,
RELIANCE,"2,236.00","2,367.00","2,234.15","2,235.50","2,358.30",122.8,5.49,9421163,"21,82,26,16,703.42","2,751.35","1,876.70",2.03,-4.11,,,,,
M&MFIN,136,142.1,134.25,134.05,141.4,7.35,5.48,8179239,"1,13,40,51,487.35",220.7,128,-33.47,-12.81,,,,,
INDIAMART,"4,158.40","4,315.00","4,104.00","4,081.75","4,297.95",216.2,5.3,269091,"1,14,39,48,895.56","9,710.70","3,960.00",-49.6,-19.65,,,,,
BAJFINANCE,"6,219.50","6,525.00","6,121.85","6,161.85","6,485.00",323.15,5.24,2280131,"14,39,29,62,116.54","8,050.00","4,362.00",15.81,-13.92,,,,,
OBEROIRLTY,835,878.35,828.3,832.45,876,43.55,5.23,694712,"59,46,38,736.40","1,051.90",515.1,56.62,-12.01,,,,,
